generation,model_id,fitness,response_time,hidden_layers,harmonic_divisor,quantum_symbols,symbolic_vocabulary_size,quantum_coherence,entanglement_strength,resonance_frequency,base60_encoding_depth
0,0,0.48843557129647014,0.1865842342376709,"(120, 60)",3,96,4,0.34019445409546467,0.2477151411201151,1.352135155016915,8
0,1,0.3463896841408327,6.284456729888916,"(240, 120)",4,96,4,0.34019445409546467,0.22363500203633346,1.1728905285052715,8
0,2,0.34667745305605746,9.899948358535767,"(360, 180, 90)",12,96,4,0.34019445409546467,0.25278705338267804,1.980990229300807,8
0,3,0.40541721216859283,2.325343132019043,"(360, 180, 90)",6,128,4,0.3173462907957362,0.18089651595534917,2.327574649142319,8
0,4,0.4355025423358051,0.899622917175293,"(240, 120, 60, 30)",5,128,4,0.3173462907957362,0.15151751491786256,1.7595391568975778,10
0,5,0.37049381908401674,1.9367249011993408,"(180,)",12,96,4,0.34019445409546467,0.3368193170346153,2.1953446081135004,10
0,6,0.4854265097304565,0.2722630500793457,"(180, 90)",60,96,4,0.34019445409546467,0.2628326805122193,2.483532197421164,8
0,7,0.47325388026685133,0.3198854923248291,"(120, 60)",15,128,4,0.3173462907957362,0.3052229751006069,1.018436329070666,12
0,8,0.3324053038347385,8.598491430282593,"(240, 120, 60)",30,96,4,0.34019445409546467,0.20995910394198558,1.6854476145170283,10
0,9,0.43165957821957923,1.1595895290374756,"(240, 120, 60, 30)",30,128,4,0.3173462907957362,0.28157708895292133,2.229477191675178,8
1,0,0.48536594626977936,0.17391729354858398,"(120, 60)",3,96,4,0.34019445409546467,0.2477151411201151,1.352135155016915,8
1,1,0.4888228496577034,0.27598071098327637,"(180, 90)",60,96,4,0.34019445409546467,0.2628326805122193,2.483532197421164,8
1,2,0.4699013280390218,0.3907010555267334,"(120, 60)",15,128,4,0.3173462907957362,0.3052229751006069,1.018436329070666,12
1,3,0.45054305277484713,0.5703709125518799,"(360, 180, 90)",6,128,4,0.3173462907957362,0.22186459823378424,2.4055534232817415,8
1,4,0.40192892949192,3.074310302734375,"(360, 180, 90)",30,96,4,0.34019445409546467,0.23123680245413525,2.2785259204087485,8
1,5,0.476754987152079,0.291532039642334,"(180, 90)",5,128,4,0.3173462907957362,0.20717509771504095,2.121535677159371,8
1,6,0.4410643567380266,0.8753092288970947,"(240, 120, 60)",60,128,4,0.3173462907957362,0.21654730193539196,1.994508174286378,10
1,7,0.45796715856287873,0.5405478477478027,"(360, 180, 90)",60,128,4,0.3173462907957362,0.22186459823378424,2.4055534232817415,8
1,8,0.45704509764881207,0.4988124370574951,"(120, 60)",5,128,4,0.3173462907957362,0.22837024500923475,1.388987742984122,12
1,9,0.4358590313558224,0.8222544193267822,"(240, 120, 60, 30)",5,128,4,0.3173462907957362,0.15151751491786256,1.7595391568975778,10
2,0,0.4866138098395037,0.2796823978424072,"(180, 90)",60,96,4,0.34019445409546467,0.2628326805122193,2.483532197421164,8
2,1,0.48578590297018776,0.18648362159729004,"(120, 60)",3,96,4,0.34019445409546467,0.2477151411201151,1.352135155016915,8
2,2,0.48039206252284783,0.285764217376709,"(180, 90)",5,128,4,0.3173462907957362,0.20717509771504095,2.121535677159371,8
2,3,0.4743279829956499,0.3021354675292969,"(120, 60)",5,128,4,0.3173462907957362,0.2251174216215095,1.8972705831329317,12
2,4,0.4777142980051721,0.2651677131652832,"(180, 90)",60,128,4,0.3173462907957362,0.24234863937300177,2.444542810351453,8
2,5,0.4888729685601721,0.19512033462524414,"(120, 60)",60,96,4,0.34019445409546467,0.24560146276072703,1.936259970202643,8
2,6,0.4629042652406427,0.3217957019805908,"(180, 90)",15,128,4,0.3173462907957362,0.25619903640782393,1.5699860031150186,12
2,7,0.46314278260460695,0.43656420707702637,"(360, 180, 90)",60,96,4,0.34019445409546467,0.22186459823378424,2.4055534232817415,8
2,8,0.4596265400532618,0.4623720645904541,"(360, 180, 90)",60,128,4,0.3173462907957362,0.2145198479744126,2.2635445502205562,8
2,9,0.4459618352085233,0.7348084449768066,"(360, 180, 90)",5,128,4,0.3173462907957362,0.2251174216215095,1.8972705831329317,12
3,0,0.4885582057302459,0.1951901912689209,"(120, 60)",60,96,4,0.34019445409546467,0.24560146276072703,1.936259970202643,8
3,1,0.4866816096252571,0.2928023338317871,"(180, 90)",60,96,4,0.34019445409546467,0.2628326805122193,2.483532197421164,8
3,2,0.48512153911138484,0.20293140411376953,"(120, 60)",3,96,4,0.34019445409546467,0.2477151411201151,1.352135155016915,8
3,3,0.4855458640825965,0.18511533737182617,"(120, 60)",60,128,4,0.3173462907957362,0.226388280237884,2.028897823681007,8
3,4,0.48237575465268523,0.24370312690734863,"(180, 90)",60,128,4,0.3173462907957362,0.22476186854402136,2.283039243755412,8
3,5,0.47372153478069623,0.348710298538208,"(120, 60)",5,96,4,0.34019445409546467,0.23535944219111826,1.9167652766677874,10
3,6,0.4819606220140024,0.2611560821533203,"(120, 60)",5,96,4,0.34019445409546467,0.2364162813708123,1.6247028690749232,12
3,7,0.46269625910119766,0.4280431270599365,"(180, 90)",5,128,4,0.3173462907957362,0.21614625966827522,2.0094031301461515,12
3,8,0.4817373292773665,0.25025439262390137,"(180, 90)",5,128,4,0.3173462907957362,0.20717509771504095,2.121535677159371,8
3,9,0.47133352668208645,0.275864839553833,"(180, 90)",5,128,4,0.3173462907957362,0.23500388911363013,2.3025339372902676,8
4,0,0.49042249316378456,0.22620105743408203,"(120, 60)",60,96,4,0.34019445409546467,0.24560146276072703,1.936259970202643,8
4,1,0.48407001096860774,0.28958654403686523,"(180, 90)",60,96,4,0.34019445409546467,0.2628326805122193,2.483532197421164,8
4,2,0.4882597930362761,0.18424034118652344,"(120, 60)",60,128,4,0.3173462907957362,0.226388280237884,2.028897823681007,8
4,3,0.48614301632402873,0.2084493637084961,"(120, 60)",60,96,4,0.34019445409546467,0.2351816656523742,2.1096496069790276,8
4,4,0.48858782324014205,0.2840604782104492,"(120, 60)",3,96,4,0.34019445409546467,0.24665830194042107,1.644197562609779,8
4,5,0.4880853408597133,0.18639898300170898,"(120, 60)",60,96,4,0.34019445409546467,0.23705171067899955,1.690516489348961,8
4,6,0.4837988284286682,0.16747689247131348,"(120, 60)",3,96,4,0.34019445409546467,0.24665830194042107,1.644197562609779,8
4,7,0.4897776448754474,0.17599081993103027,"(120, 60)",60,128,4,0.3173462907957362,0.2359948714993055,1.982578896941825,8
4,8,0.48976499730148615,0.18686199188232422,"(120, 60)",60,96,4,0.34019445409546467,0.25527391081616724,1.9178336762190396,8
4,9,0.4810239690708582,0.2774949073791504,"(120, 60)",60,96,4,0.34019445409546467,0.23058907495741682,1.9538710564151676,12
